球団,打者名,PA,打点合計,RE24合計,WPA合計,打点/PA,RE24/PA,WPA/PA,打点順位,RE24順位,WPA順位,打点/PA順位,RE24/PA順位,WPA/PA順位,WPA評価上昇,タイプ,OPS,OBP,SLG,AB,H,TB,BB,HBP,SF,得点圏PA,得点圏OPS,得点圏OBP,得点圏SLG,チャンスタイプ
日本ハム,野村　佑希,218,20,2.1180000000000003,1.132902,0.091743119266055,0.0097155963302752,0.0051967981651376,14,17,11,21,17,13,3,勝利貢献型,0.749003799462515,0.3348623853211009,0.4141414141414141,198,53,82,18,2,0,56,0.8333333333333333,0.375,0.4583333333333333,チャンス多・成果低
DeNA,オースティン,210,26,5.493,1.218329,0.1238095238095238,0.0261571428571428,0.0058015666666666,12,13,10,9,14,11,2,その他,0.8156180606957809,0.3285714285714285,0.4870466321243523,193,52,94,17,0,0,53,0.63084495488105,0.2830188679245283,0.3478260869565217,チャンス多・成果低
ロッテ,山本　大斗,201,18,-4.906,-0.718523,0.0895522388059701,-0.0244079601990049,-0.0035747412935323,15,23,22,22,21,22,-7,その他,0.6013249261712826,0.2537313432835821,0.3475935828877005,187,37,65,12,2,0,55,0.6582560296846012,0.2909090909090909,0.3673469387755102,チャンス多・成果低
広島,モンテロ,180,18,-3.286999999999999,1.595811,0.1,-0.0182611111111111,0.0088656166666666,15,20,7,17,20,8,8,勝利貢献型,0.580388219544846,0.2611111111111111,0.3192771084337349,166,36,53,11,0,3,53,0.6091058244462675,0.2830188679245283,0.3260869565217391,チャンス多・成果低
ロッテ,ソト,179,18,-1.956,-0.638764,0.1005586592178771,-0.0109273743016759,-0.0035685139664804,15,19,21,16,19,21,-6,その他,0.637351338382973,0.2569832402234637,0.3803680981595092,163,32,62,12,2,2,45,0.6202614379084967,0.3555555555555555,0.2647058823529412,チャンス少・成果低
ソフトバンク,中村　晃,171,17,3.365,0.6783669999999999,0.0994152046783625,0.0196783625730994,0.0039670584795321,19,15,17,18,15,14,2,その他,0.6502532138683288,0.3058823529411765,0.3443708609271523,151,36,52,16,0,3,46,0.8928104575163398,0.4222222222222222,0.4705882352941176,チャンス少・成果高
巨人,キャベッジ,157,26,10.538,1.219419,0.1656050955414012,0.0671210191082802,0.007767,12,8,9,5,6,9,3,総合型,0.8101724859361197,0.3503184713375796,0.4598540145985401,137,36,63,19,0,1,52,0.9615384615384616,0.4230769230769231,0.5384615384615384,チャンス少・成果高
日本ハム,レイエス,157,40,25.21,4.825634,0.2547770700636942,0.1605732484076433,0.0307365222929936,6,4,2,1,1,1,4,総合型,1.0846678798908098,0.4203821656050955,0.6642857142857143,140,50,93,16,0,1,44,1.207002457002457,0.4772727272727273,0.7297297297297297,チャンス少・成果高
楽天,ボイト,154,17,10.23,0.418691,0.1103896103896103,0.0664285714285714,0.0027187727272727,19,9,19,12,7,17,0,得点貢献型,0.8094591975188989,0.3766233766233766,0.4328358208955223,134,38,58,16,4,0,31,0.9454094292803972,0.4838709677419355,0.4615384615384615,チャンス少・成果高
オリックス,頓宮　裕真,150,6,-6.212,-2.246626,0.04,-0.0414133333333333,-0.0149775066666666,25,24,25,25,25,24,0,その他,0.6235294117647059,0.3,0.3235294117647059,136,32,44,13,0,1,39,0.3995726495726496,0.2051282051282051,0.1944444444444444,チャンス少・成果低
中日,ボスラー,150,13,-4.35,-1.352659,0.0866666666666666,-0.0289999999999999,-0.0090177266666666,22,22,23,23,23,23,-1,その他,0.6645454545454546,0.2933333333333333,0.3712121212121212,132,29,49,12,3,3,49,0.4540816326530612,0.2040816326530612,0.25,チャンス少・成果低
日本ハム,郡司　裕也,148,14,9.203,0.776498,0.0945945945945946,0.0621824324324324,0.0052466081081081,21,11,15,19,9,12,6,その他,0.8803721754541427,0.4459459459459459,0.4344262295081967,122,42,53,21,3,2,34,0.9505882352941176,0.4705882352941176,0.48,チャンス少・成果高
ソフトバンク,近藤　健介,128,18,9.484,1.482278,0.140625,0.07409375,0.011580296875,15,10,8,7,5,6,7,総合型,0.7941576086956521,0.359375,0.4347826086956521,115,34,50,12,0,1,29,1.1566091954022988,0.4482758620689655,0.7083333333333334,チャンス少・成果高
楽天,フランコ,108,8,-4.178,-1.740724,0.074074074074074,-0.0386851851851851,-0.0161178148148148,24,21,24,24,24,25,0,その他,0.5990650845019777,0.2592592592592592,0.3398058252427184,103,23,35,5,0,0,31,0.5794930875576036,0.2580645161290322,0.3214285714285714,チャンス少・成果低
楽天,黒川　史陽,105,11,5.203,1.124762,0.1047619047619047,0.0495523809523809,0.010712019047619,23,14,12,15,10,7,11,その他,0.6831103678929766,0.3461538461538461,0.3369565217391304,92,25,31,11,0,1,25,0.9846491228070176,0.4583333333333333,0.5263157894736842,チャンス少・成果高
