球団,日付,1番,2番,3番,4番,5番,6番,7番,8番,9番
中日,5月27日(土),岡林 勇希,福永 裕基,細川 成也,石川 昂弥,ビシエド,大島 洋平,木下 拓哉,龍空,松葉 貴大
中日,5月28日(日),岡林 勇希,大島 洋平,細川 成也,石川 昂弥,ビシエド,福永 裕基,木下 拓哉,村松 開人,髙橋 宏斗
中日,5月30日(火),岡林 勇希,ブライト 健太,細川 成也,石川 昂弥,ビシエド,福永 裕基,木下 拓哉,村松 開人,鵜飼 航丞
中日,5月31日(水),岡林 勇希,ブライト 健太,細川 成也,石川 昂弥,ビシエド,大島 洋平,木下 拓哉,村松 開人,福永 裕基
中日,6月1日(木),岡林 勇希,ブライト 健太,細川 成也,石川 昂弥,ビシエド,大島 洋平,木下 拓哉,村松 開人,福永 裕基
中日,6月2日(金),岡林 勇希,村松 開人,細川 成也,石川 昂弥,高橋 周平,大島 洋平,木下 拓哉,福永 裕基,小笠原 慎之介
中日,6月3日(土),岡林 勇希,ブライト 健太,細川 成也,石川 昂弥,ビシエド,福永 裕基,木下 拓哉,村松 開人,松葉 貴大
中日,6月4日(日),岡林 勇希,鵜飼 航丞,細川 成也,石川 昂弥,高橋 周平,福永 裕基,木下 拓哉,村松 開人,髙橋 宏斗
中日,6月6日(火),大島 洋平,岡林 勇希,細川 成也,石川 昂弥,高橋 周平,ビシエド,村松 開人,木下 拓哉,龍空
中日,6月7日(水),大島 洋平,岡林 勇希,細川 成也,石川 昂弥,高橋 周平,ビシエド,木下 拓哉,龍空,福永 裕基
中日,6月8日(木),大島 洋平,鵜飼 航丞,岡林 勇希,細川 成也,高橋 周平,ビシエド,村松 開人,木下 拓哉,龍空
中日,6月9日(金),大島 洋平,鵜飼 航丞,岡林 勇希,細川 成也,高橋 周平,石川 昂弥,村松 開人,木下 拓哉,龍空
中日,6月10日(土),鵜飼 航丞,岡林 勇希,福永 裕基,細川 成也,高橋 周平,ビシエド,石川 昂弥,木下 拓哉,村松 開人
中日,6月13日(火),鵜飼 航丞,村松 開人,岡林 勇希,細川 成也,ビシエド,福永 裕基,木下 拓哉,龍空,髙橋 宏斗
