球団,日付,1番,2番,3番,4番,5番,6番,7番,8番,9番
阪神,7月13日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,島田 海吏,伊藤 将司
阪神,7月15日(火),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,島田 海吏,梅野 隆太郎,髙橋 遥人
阪神,7月16日(水),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,小幡 竜平,梅野 隆太郎,才木 浩人
阪神,7月19日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,髙寺 望夢,村上 頌樹
阪神,7月20日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,髙寺 望夢,デュプランティエ
阪神,7月21日(月),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,中川 勇斗,坂本 誠志郎,伊藤 将司
阪神,7月26日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,髙寺 望夢,才木 浩人
阪神,7月27日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,髙寺 望夢,髙橋 遥人
阪神,7月29日(火),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,熊谷 敬宥,大竹 耕太郎
阪神,7月30日(水),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,髙寺 望夢,村上 頌樹
阪神,7月31日(木),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,中川 勇斗,榮枝 裕貴,熊谷 敬宥,伊原 陵人
阪神,8月1日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,熊谷 敬宥,伊藤 将司
阪神,8月2日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,髙寺 望夢,才木 浩人
阪神,8月3日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,髙寺 望夢,梅野 隆太郎,ビーズリー
阪神,8月5日(火),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,熊谷 敬宥,髙橋 遥人
阪神,8月6日(水),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,髙寺 望夢,坂本 誠志郎,熊谷 敬宥,村上 頌樹
阪神,8月7日(木),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,中川 勇斗,ヘルナンデス,坂本 誠志郎,熊谷 敬宥,伊原 陵人
阪神,8月8日(金),近本 光司,中野 拓夢,中川 勇斗,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,島田 海吏,伊藤 将司
阪神,8月9日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,髙寺 望夢,デュプランティエ
阪神,8月10日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,髙寺 望夢,坂本 誠志郎,小幡 竜平,才木 浩人
阪神,8月12日(火),近本 光司,熊谷 敬宥,森下 翔太,前川 右京,大山 悠輔,木浪 聖也,坂本 誠志郎,植田 海,大竹 耕太郎
阪神,8月13日(水),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,髙寺 望夢,坂本 誠志郎,小幡 竜平,髙橋 遥人
阪神,8月15日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,髙寺 望夢,坂本 誠志郎,小幡 竜平,伊藤 将司
阪神,8月16日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,中川 勇斗,坂本 誠志郎,村上 頌樹
阪神,8月17日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,髙寺 望夢,坂本 誠志郎,小幡 竜平,才木 浩人
阪神,8月19日(火),熊谷 敬宥,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,中川 勇斗,榮枝 裕貴,井坪 陽生,ビーズリー
阪神,8月20日(水),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,中川 勇斗,坂本 誠志郎,熊谷 敬宥,伊原 陵人
阪神,8月22日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,髙寺 望夢,坂本 誠志郎,熊谷 敬宥,髙橋 遥人
阪神,8月23日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,井坪 陽生,坂本 誠志郎,熊谷 敬宥,伊藤 将司
阪神,8月24日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,髙寺 望夢,坂本 誠志郎,小幡 竜平,才木 浩人
阪神,8月26日(火),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,髙寺 望夢,坂本 誠志郎,小幡 竜平,村上 頌樹
阪神,8月27日(水),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,熊谷 敬宥,豊田 寛,梅野 隆太郎,早川 太貴
阪神,8月28日(木),中野 拓夢,熊谷 敬宥,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,梅野 隆太郎,髙寺 望夢,伊原 陵人
阪神,8月29日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,熊谷 敬宥,坂本 誠志郎,髙寺 望夢,大竹 耕太郎
阪神,8月30日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,熊谷 敬宥,小幡 竜平,坂本 誠志郎,髙橋 遥人
阪神,8月31日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,熊谷 敬宥,小野寺 暖,坂本 誠志郎,才木 浩人
阪神,9月2日(火),近本 光司,植田 海,森下 翔太,佐藤 輝明,大山 悠輔,熊谷 敬宥,小野寺 暖,坂本 誠志郎,村上 頌樹
阪神,9月3日(水),中野 拓夢,熊谷 敬宥,森下 翔太,佐藤 輝明,大山 悠輔,小野寺 暖,中川 勇斗,坂本 誠志郎,伊藤 将司
阪神,9月4日(木),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,熊谷 敬宥,髙寺 望夢,梅野 隆太郎,ネルソン
阪神,9月5日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,熊谷 敬宥,木浪 聖也,坂本 誠志郎,大竹 耕太郎
阪神,9月6日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,髙寺 望夢,坂本 誠志郎,小幡 竜平,門別 啓人
阪神,9月7日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,木浪 聖也,髙寺 望夢,坂本 誠志郎,才木 浩人
阪神,9月9日(火),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,木浪 聖也,髙寺 望夢,坂本 誠志郎,村上 頌樹
阪神,9月10日(水),近本 光司,梅野 隆太郎,森下 翔太,佐藤 輝明,大山 悠輔,熊谷 敬宥,井坪 陽生,植田 海,伊藤 将司
阪神,9月11日(木),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,原口 文仁,髙寺 望夢,木浪 聖也,坂本 誠志郎,大竹 耕太郎
阪神,9月13日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小野寺 暖,坂本 誠志郎,熊谷 敬宥,髙橋 遥人
阪神,9月14日(日),中野 拓夢,熊谷 敬宥,森下 翔太,佐藤 輝明,大山 悠輔,小野寺 暖,坂本 誠志郎,井坪 陽生,才木 浩人
阪神,9月15日(月),井坪 陽生,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小野寺 暖,坂本 誠志郎,熊谷 敬宥,ネルソン
阪神,9月17日(水),近本 光司,熊谷 敬宥,森下 翔太,大山 悠輔,木浪 聖也,中川 勇斗,坂本 誠志郎,植田 海,村上 頌樹
阪神,9月18日(木),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,木浪 聖也,ヘルナンデス,中川 勇斗,坂本 誠志郎,大竹 耕太郎
阪神,9月19日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,木浪 聖也,髙寺 望夢,梅野 隆太郎,早川 太貴
阪神,9月20日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,髙寺 望夢,小幡 竜平,梅野 隆太郎,髙橋 遥人
阪神,9月21日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,中川 勇斗,熊谷 敬宥,坂本 誠志郎,伊藤 将司
阪神,9月22日(月),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,前川 右京,髙寺 望夢,小幡 竜平,坂本 誠志郎,才木 浩人
阪神,9月23日(火),近本 光司,中野 拓夢,前川 右京,佐藤 輝明,大山 悠輔,木浪 聖也,髙寺 望夢,坂本 誠志郎,ネルソン
阪神,9月26日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,坂本 誠志郎,熊谷 敬宥,村上 頌樹
阪神,9月27日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,木浪 聖也,坂本 誠志郎,大竹 耕太郎
阪神,9月28日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,中川 勇斗,坂本 誠志郎,熊谷 敬宥,伊原 陵人
阪神,10月2日(木),近本 光司,中野 拓夢,佐藤 輝明,大山 悠輔,前川 右京,髙寺 望夢,小幡 竜平,坂本 誠志郎,村上 頌樹
DeNA,3月28日(金),梶原 昂希,牧 秀悟,筒香 嘉智,オースティン,宮﨑 敏郎,蝦名 達夫,山本 祐大,森 敬斗,東 克樹
DeNA,3月29日(土),梶原 昂希,牧 秀悟,筒香 嘉智,オースティン,宮﨑 敏郎,蝦名 達夫,山本 祐大,森 敬斗,バウアー
DeNA,3月30日(日),梶原 昂希,牧 秀悟,佐野 恵太,筒香 嘉智,宮﨑 敏郎,松尾 汐恩,蝦名 達夫,森 敬斗,平良 拳太郎
DeNA,4月1日(火),梶原 昂希,牧 秀悟,三森 大貴,筒香 嘉智,宮﨑 敏郎,佐野 恵太,山本 祐大,森 敬斗,ジャクソン
DeNA,4月2日(水),梶原 昂希,牧 秀悟,三森 大貴,オースティン,宮﨑 敏郎,佐野 恵太,戸柱 恭孝,森 敬斗,大貫 晋一
DeNA,4月3日(木),梶原 昂希,牧 秀悟,三森 大貴,オースティン,宮﨑 敏郎,佐野 恵太,山本 祐大,森 敬斗,ケイ
DeNA,4月4日(金),梶原 昂希,牧 秀悟,三森 大貴,オースティン,佐野 恵太,京田 陽太,山本 祐大,森 敬斗,石田 裕太郎
DeNA,4月5日(土),梶原 昂希,牧 秀悟,佐野 恵太,オースティン,宮﨑 敏郎,蝦名 達夫,山本 祐大,森 敬斗,東 克樹
