日付,球場,球団,対戦相手,ホーム/ビジター,打者名,打順,守備位置,投手名,投手利き腕,イニング,表裏,イニング内打席番号,打席内球数,自チーム打席前得点,相手チーム打席前得点,打席前点差,打席前アウト数,打席前走者状況コード,打席前一塁走者,打席前二塁走者,打席前三塁走者,打席前状況コード,打席結果,最終投球結果,この打席得点数,打点,自チーム打席後得点,相手チーム打席後得点,打席後点差,打席後アウト数,打席後走者状況コード,打席後一塁走者,打席後二塁走者,打席後三塁走者,打席後状況コード,得点圏フラグ,打者走者進塁先,打者走者アウト,一塁走者進塁先,一塁走者アウト,二塁走者進塁先,二塁走者アウト,三塁走者進塁先,三塁走者アウト,打席前RE,打席後RE,RE24,打席前WE,打席後WE,WPA,WE推定方法_前,WE推定方法_後,WEサンプル数_前,WEサンプル数_後
2025/3/28,ベルーナドーム,日本ハム,西武,away,野村　佑希,4,3,今井　達也,右,4,表,3,2,0,0,0,2,0,0,0,0,2_000,遊ゴロ,凡打,0,0,0,0,0,3,0,0,0,0,3_000,0,0,1,0,0,0,0,0,0,0.074,0,-0.074,0.466667,0.422566,-0.0441,exact,next_half_exact,150,226
2025/3/28,ベルーナドーム,西武,日本ハム,home,セデーニョ,4,10,金村　尚真,右,4,裏,4,8,0,0,0,2,10,0,1,0,2_010,空三振,空振り,0,0,0,0,0,3,10,0,1,0,3_000,1,0,1,0,0,0,0,0,0,0.276,0,-0.276,0.541667,0.520833,-0.020833,exact,next_half_exact,24,192
2025/3/28,ベルーナドーム,日本ハム,西武,away,野村　佑希,4,3,今井　達也,右,7,表,3,3,1,0,1,0,100,0,0,1,0_100,三飛,凡打,0,0,1,0,1,1,100,0,0,1,1_100,0,0,1,0,0,0,0,0,0,0.675,0.398,-0.278,0.789474,0.775,-0.014474,exact,exact,19,20
2025/3/28,ベルーナドーム,西武,日本ハム,home,セデーニョ,4,10,金村　尚真,右,7,裏,1,3,0,1,-1,0,0,0,0,0,0_000,左飛,凡打,0,0,0,1,-1,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.233333,0.183824,-0.04951,exact,exact,90,68
2025/3/28,ベルーナドーム,日本ハム,西武,away,野村　佑希,4,3,今井　達也,右,9,表,4,2,2,0,2,2,0,0,0,0,2_000,二ゴロ,凡打,0,0,2,0,2,3,0,0,0,0,3_000,0,0,1,0,0,0,0,0,0,0.074,0,-0.074,0.893617,0.846154,-0.047463,exact,next_half_exact,47,91
2025/3/28,ベルーナドーム,西武,日本ハム,home,セデーニョ,4,10,金村　尚真,右,9,裏,3,4,0,2,-2,1,100,0,0,1,1_100,三併打,凡打,0,0,0,2,-2,3,0,0,0,0,3_000,0,0,1,0,1,0,0,0,0,0.398,0,-0.398,0.263158,0,-0.263158,exact,game_final,19,1
2025/3/28,京セラD大阪,楽天,オリックス,away,辰己　涼介,4,8,宮城　大弥,左,2,表,1,4,0,0,0,0,0,0,0,0,0_000,三直,凡打,0,0,0,0,0,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.46325,0.43254,-0.03071,exact,exact,517,378
2025/3/28,京セラD大阪,オリックス,楽天,home,杉本　裕太郎,4,9,早川　隆久,左,2,裏,1,3,0,0,0,0,0,0,0,0,0_000,空三振,空振り,0,0,0,0,0,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.553215,0.505068,-0.048148,exact,exact,451,296
2025/3/28,京セラD大阪,オリックス,楽天,home,杉本　裕太郎,4,9,早川　隆久,左,4,裏,1,1,2,0,2,0,0,0,0,0,0_000,左飛,凡打,0,0,2,0,2,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.822785,0.813559,-0.009225,exact,exact,79,59
2025/3/28,京セラD大阪,楽天,オリックス,away,辰己　涼介,4,8,宮城　大弥,左,5,表,1,3,0,2,-2,0,0,0,0,0,0_000,三邪飛,邪飛,0,0,0,2,-2,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.170455,0.132812,-0.037642,exact,exact,88,64
